Address,Suburb,Price,Bedroom,Bathroom,YearBuilt,DateSold
85 Turner St,Abbotsford,1480000,2,1,,3/12/2016
25 Bloomburg St,Abbotsford,1035000,2,1,1900,4/02/2016
5 Charles St,Abbotsford,1465000,3,2,1900,4/03/2017
40 Federation La,Abbotsford,850000,3,2,,4/03/2017
55a Park St,Abbotsford,1600000,3,1,2014,4/06/2016
129 Charles St,Abbotsford,941000,2,1,,7/05/2016
124 Yarra St,Abbotsford,1876000,4,2,1910,7/05/2016
98 Charles St,Abbotsford,1636000,2,1,1890,8/10/2016
217 Langridge St,Abbotsford,1000000,,,,8/10/2016
18a Mollison St,Abbotsford,745000,,,,8/10/2016
6/241 Nicholson St,Abbotsford,300000,1,1,,8/10/2016
10 Valiant St,Abbotsford,1097000,3,1,1900,8/10/2016
403/609 Victoria St,Abbotsford,542000,,,,8/10/2016
25/84 Trenerry Cr,Abbotsford,760000,,,,10/12/2016
106/119 Turner St,Abbotsford,481000,,,,10/12/2016
411/8 Grosvenor St,Abbotsford,700000,2,2,,12/11/2016
40 Nicholson St,Abbotsford,1350000,3,2,2005,12/11/2016
123/56 Nicholson St,Abbotsford,750000,2,2,2009,12/11/2016
22 Park St,Abbotsford,1985000,,,,12/11/2016
13/84 Trenerry Cr,Abbotsford,500000,,,,12/11/2016
45 William St,Abbotsford,1172500,2,1,,13/08/2016
7/20 Abbotsford St,Abbotsford,441000,1,1,,14/05/2016
16 William St,Abbotsford,1310000,2,1,1890,15/10/2016
42 Henry St,Abbotsford,1200000,3,2,1880,16/07/2016
250 Langridge St,Abbotsford,847000,,,,16/07/2016
78 Yarra St,Abbotsford,1176500,2,1,1890,16/07/2016
196 Nicholson St,Abbotsford,955000,3,1,,17/09/2016
42 Valiant St,Abbotsford,890000,2,1,1985,17/09/2016
3/72 Charles St,Abbotsford,1330000,4,2,1900,18/03/2017
13/11 Nicholson St,Abbotsford,900000,3,2,2010,18/03/2017
138/56 Nicholson St,Abbotsford,1090000,3,2,,18/03/2017
6/219 Nicholson St,Abbotsford,500000,2,1,1970,18/06/2016
52a William St,Abbotsford,1100000,2,2,2013,18/06/2016
49 Park St,Abbotsford,1315000,2,1,1900,19/11/2016
65/80 Trenerry Cr,Abbotsford,480000,,,,19/11/2016
119/52 Nicholson St,Abbotsford,423500,,,,22/05/2016
5/20 Abbotsford St,Abbotsford,426000,1,1,,22/08/2016
48 Abbotsford St,Abbotsford,1447500,3,3,2012,22/08/2016
116/56 Nicholson St,Abbotsford,457000,1,1,,22/08/2016
159 Park St,Abbotsford,1135000,2,2,1920,22/08/2016
49/84 Trenerry Cr,Abbotsford,700000,,,,23/04/2016
31 Turner St,Abbotsford,1542000,4,3,,24/09/2016
17/1 Abbot St,Abbotsford,962000,,,,25/02/2017
166 Gipps St,Abbotsford,1290000,3,2,,25/02/2017
60 Stafford St,Abbotsford,1290000,3,1,1950,25/02/2017
11/205 Gipps St,Abbotsford,470000,1,1,2013,26/07/2016
47 Studley St,Abbotsford,1180000,2,1,1900,27/11/2016
45 Yarra St,Abbotsford,1195000,3,2,1998,27/11/2016
200 Nicholson St,Abbotsford,1012500,2,1,1900,28/05/2016
82/84 Trenerry Cr,Abbotsford,970000,,,,28/05/2016
27 Charles St,Abbotsford,1030000,2,1,1930,30/07/2016
40/80 Trenerry Cr,Abbotsford,927000,,,,30/07/2016
154 Halsey Rd,Airport West,840000,3,2,2016,3/09/2016
50 Bedford St,Airport West,730000,3,2,1965,3/12/2016
50 Bedford St,Airport West,770000,3,2,1965,4/03/2017
23 Hart St,Airport West,603000,2,1,1950,4/03/2017
1/80 Hawker St,Airport West,700000,3,2,2009,4/03/2017
1/37 Hillside Gr,Airport West,600000,2,1,1980,4/03/2017
2/49 McIntosh St,Airport West,500000,2,1,2011,4/03/2017
4/9 West Ct,Airport West,420000,,,,4/06/2016
1/36 York St,Airport West,500000,,,,4/06/2016
33 Bowes Av,Airport West,1035000,,,,6/08/2016
89 Bowes Av,Airport West,960000,,,,6/08/2016
45 Laurence Av,Airport West,960000,,,,6/08/2016
54 Marshall Rd,Airport West,720000,2,1,,6/08/2016
36 Roberts Rd,Airport West,785000,3,1,,6/08/2016
11 Harrington Rd,Airport West,725000,6,3,1980,7/05/2016
2/252 Parer Rd,Airport West,450000,2,1,2015,7/05/2016
3/19 Hart St,Airport West,515000,2,1,2013,7/11/2016
81a Roberts Rd,Airport West,680000,,,,8/10/2016
2/62 Clydesdale Rd,Airport West,530000,2,1,2012,10/09/2016
3 Deidre Ct,Airport West,895000,3,1,1975,10/09/2016
3/24 Elstone Av,Airport West,600000,,,,10/09/2016
13 Etzel St,Airport West,805000,3,1,1950,10/12/2016
37a North St,Airport West,760000,,,,10/12/2016
1/43 Cameron St,Airport West,752000,3,1,1993,11/02/2017
1/69 Bowes Av,Airport West,580000,,,,12/11/2016
2/9 El Reno Cr,Airport West,725000,,,,12/11/2016
92 McNamara Av,Airport West,758000,,,,13/08/2016
145a Victory Rd,Airport West,440000,2,1,,13/08/2016
20 Creswell Av,Airport West,970000,,,,14/05/2016
241 Parer Rd,Airport West,755000,3,2,,14/05/2016
71 Bowes Av,Airport West,985000,,,,15/10/2016
2/40 Earl St,Airport West,700000,3,2,2009,15/10/2016
2/112 Parer Rd,Airport West,509500,,,,15/10/2016
180 Parer Rd,Airport West,830000,3,1,1960,16/04/2016
4/54 Hawker St,Airport West,462500,2,1,2003,16/07/2016
43 Hillside Gr,Airport West,670000,3,2,,16/07/2016
174 Parer Rd,Airport West,675000,2,1,1975,16/07/2016
138 Victory Rd,Airport West,1042000,3,2,1950,16/07/2016
75 King St,Airport West,910000,3,1,,17/09/2016
6 Kittyhawk St,Airport West,773000,5,3,1980,17/09/2016
7 McNamara Av,Airport West,715000,,,,17/09/2016
478 Fullarton Rd,Airport West,810000,3,3,1980,18/03/2017
144 Marshall Rd,Airport West,715000,3,2,1995,18/03/2017
106 Parer Rd,Airport West,790000,3,1,,18/03/2017
1/41 Hillside Gr,Airport West,460000,,,,18/06/2016
3/7 South Rd,Airport West,540000,2,2,2010,18/06/2016
37 North St,Airport West,825000,3,2,1960,19/11/2016
10 Hilbert Rd,Airport West,685000,3,1,1975,22/05/2016
7/42 York St,Airport West,445000,,,,22/05/2016
110 Halsey Rd,Airport West,805000,3,1,,22/08/2016
2/13 North St,Airport West,510000,2,1,,22/08/2016
105a Victory Rd,Airport West,612000,3,2,,22/08/2016
117 Marshall Rd,Airport West,662000,3,1,,23/04/2016
34 Moorna Dr,Airport West,978000,4,3,,24/09/2016
33 North St,Airport West,720000,3,1,,25/02/2017
4/40 McNamara Av,Airport West,474000,,,,26/07/2016
5/93 McNamara Av,Airport West,490000,,,,26/07/2016
2/137 McNamara Av,Airport West,405000,,,,27/06/2016
1/46 Bowes Av,Airport West,715000,,,,27/11/2016
1/34 Elstone Av,Airport West,671500,,,,27/11/2016
49 Roberts Rd,Airport West,765000,4,1,,27/11/2016
85 Roberts Rd,Airport West,900000,4,2,1975,27/11/2016
22a Walters Av,Airport West,820000,,,,28/08/2016
1/145 Parer Rd,Airport West,650000,,,,30/07/2016
3/35 Walters Av,Airport West,552000,,,,30/07/2016
105 Kerferd Rd,Albert Park,1275000,2,1,1900,3/09/2016
85 Richardson St,Albert Park,1455000,2,1,,3/09/2016
112 Beaconsfield Pde,Albert Park,2850000,3,2,1890,4/03/2017
94 Graham St,Albert Park,1850000,3,2,1890,4/03/2017
396 Montague St,Albert Park,1436000,2,1,1900,4/03/2017
75 Graham St,Albert Park,1110000,1,1,1900,6/08/2016
54 Brooke St,Albert Park,1550000,2,1,,7/05/2016
104 Richardson St,Albert Park,2300000,4,2,1880,7/05/2016
4a Mills St,Albert Park,1550000,3,2,,7/11/2016
1 Moubray St,Albert Park,1800000,3,2,1996,7/11/2016
114 Victoria Av,Albert Park,2485000,,,,8/10/2016
29 Faussett St,Albert Park,2120000,2,1,1900,10/09/2016
3 Herbert St,Albert Park,1800000,3,1,,10/09/2016
24 Kerferd Pl,Albert Park,1800000,3,2,1900,10/09/2016
44 Draper St,Albert Park,1810000,2,1,,10/12/2016
2 Dundas Pl,Albert Park,2615000,3,2,1880,10/12/2016
23 Finlay St,Albert Park,2100000,5,2,,10/12/2016
31 Richardson St,Albert Park,1300000,3,1,,10/12/2016
4a Gatehouse La,Albert Park,1370000,3,2,2000,12/06/2016
60 Brooke St,Albert Park,1000000,2,1,,12/11/2016
70 Barrett St,Albert Park,2575000,3,2,,15/10/2016
65 Graham St,Albert Park,1322500,2,1,1890,15/10/2016
364 Montague St,Albert Park,1562500,2,1,1890,15/10/2016
86 Mills St,Albert Park,2000000,3,2,1900,16/04/2016
129 Kerferd Rd,Albert Park,1900000,3,1,1900,18/03/2017
97 Page St,Albert Park,3010000,3,2,1890,18/03/2017
55 Withers St,Albert Park,2800000,4,3,1910,18/06/2016
10/140 Kerferd Rd,Albert Park,647000,2,1,,22/05/2016
55 Merton St,Albert Park,2100000,2,1,1900,23/04/2016
49 Page St,Albert Park,2000000,3,1,1890,24/09/2016
13/52 Moubray St,Albert Park,442500,1,1,1970,25/02/2017
115 Page St,Albert Park,4735000,4,2,1910,25/02/2017
32 Page St,Albert Park,1340000,2,1,,25/02/2017
34 Richardson St,Albert Park,1801000,3,1,,25/02/2017
2b Dundas Pl,Albert Park,1532000,3,3,,26/07/2016
22 Greig St,Albert Park,3755000,3,2,,26/07/2016
27 Barrett St,Albert Park,2140000,3,2,1880,27/06/2016
3 Faussett St,Albert Park,1810000,,,,27/06/2016
44 Greig St,Albert Park,1750000,2,1,,27/11/2016
6 Brooke St,Albert Park,980000,2,1,1890,28/05/2016
227a Danks St,Albert Park,2030000,3,2,,28/08/2016
17 Reed St,Albert Park,1740000,3,2,1890,28/08/2016
74 Bridport St,Albert Park,2800000,3,3,,30/07/2016
9 Durham St,Albert Park,985000,1,1,1900,30/07/2016
6 Smith St,Alphington,2000000,3,2,1930,3/09/2016
5/6 Yarralea St,Alphington,1110000,3,2,2013,3/09/2016
136A Fulham Rd,Alphington,1492000,3,2,,4/03/2017
1/9 Roemer Cr,Alphington,480000,,,,7/05/2016
2/21 Fulham Rd,Alphington,1304000,,,,8/10/2016
44 Shiers St,Alphington,1717500,4,2,1925,8/10/2016
83 Fulham Rd,Alphington,2840000,5,4,1910,12/06/2016
3/19 Harker St,Alphington,525500,2,1,1960,12/11/2016
4/2 Miller St,Alphington,805000,2,2,2004,12/11/2016
2/5 Yarana Rd,Alphington,465000,2,1,,12/11/2016
69 Lucerne Cr,Alphington,1480000,,,,13/08/2016
815 Heidelberg Rd,Alphington,2000000,3,3,,15/10/2016
44 Naroon Rd,Alphington,1540000,3,1,,16/04/2016
1/17 Rex Av,Alphington,590000,,,,17/09/2016
3/98 Grange Rd,Alphington,820000,2,1,,18/03/2017
10 Bennett St,Alphington,1830000,4,2,1970,19/11/2016
38 Bennett St,Alphington,2100000,4,2,2008,19/11/2016
2c Hamilton St,Alphington,865000,3,1,2010,22/05/2016
5/5 Yarana Rd,Alphington,390000,2,1,1960,22/05/2016
7/7 Chandler Hwy,Alphington,650000,0,1,,24/09/2016
1/14 Fulham Rd,Alphington,512000,2,1,1965,25/02/2017
17 Lowther St,Alphington,1361000,,,,25/02/2017
13a Fulham Rd,Alphington,1310000,,,,26/07/2016
32/23 Coate Av,Alphington,570000,,,,27/06/2016
22 Lowther St,Alphington,1165000,3,1,,27/06/2016
6/11 Broomfield Av,Alphington,530000,,,,27/11/2016
11 Margaret Gr,Alphington,1900000,4,2,1930,27/11/2016
6 Naroon Rd,Alphington,1485000,3,0,,28/08/2016
42 Shiers St,Alphington,1950000,4,2,1920,30/07/2016
158 Queen St,Altona,520000,3,2,2015,3/09/2016
59 Bracken Gr,Altona,1525000,5,3,2005,3/12/2016
1/123 Blyth St,Altona,720000,2,1,2013,4/02/2016
4 Blyth St,Altona,1120000,3,1,1930,4/03/2017
20 Linnet St,Altona,780000,4,1,,4/06/2016
29 Rose St,Altona,1780000,4,3,1962,4/06/2016
1/170 Blyth St,Altona,630000,2,1,1955,6/08/2016
5/35 Grieve Pde,Altona,406000,2,1,,6/08/2016
156 Maidstone St,Altona,660000,3,1,1955,7/05/2016
11 Keeshan Ct,Altona,683500,3,1,,7/11/2016
1/4 Deavey Ct,Altona,540000,,,,8/10/2016
1/136 Queen St,Altona,580000,2,1,1988,8/10/2016
173 Queen St,Altona,1335000,3,1,1953,8/10/2016
1/265 Queen St,Altona,800000,3,2,1997,8/10/2016
3/26 Grieve Pde,Altona,510000,2,1,1990,10/09/2016
261 Queen St,Altona,1070000,4,2,,10/09/2016
4/5 Rose St,Altona,425000,2,1,1980,10/09/2016
1/60 David St,Altona,605000,3,2,,10/12/2016
1A Merritt Ct,Altona,705000,3,2,,11/02/2017
4/31 Millers Rd,Altona,391000,2,1,1965,11/02/2017
111/112 Pier St,Altona,440000,2,1,,11/02/2017
24 Wren St,Altona,845000,4,1,1950,11/02/2017
54 Seves St,Altona,766000,,,,11/03/2017
1/152 Blyth St,Altona,743000,3,2,,12/11/2016
2/6 Galvin St,Altona,650000,,,,12/11/2016
4/57 Blyth St,Altona,730000,3,2,2014,13/08/2016
10 Wilga Av,Altona,916500,,,,13/08/2016
164 Maidstone St,Altona,635000,3,1,1960,14/05/2016
3/25 Rayner St,Altona,620000,2,1,,14/05/2016
3/46 Sargood St,Altona,447000,2,1,1990,15/10/2016
1/57 Blyth St,Altona,730000,3,2,,16/04/2016
22 Fenfield St,Altona,678000,3,1,1950,16/04/2016
5/8 David St,Altona,580000,2,2,2013,16/07/2016
1/28 Seves St,Altona,712000,3,1,,17/09/2016
27 McIntyre Dr,Altona,840000,3,2,1965,18/03/2017
4 Boyd St,Altona,980000,3,1,,19/11/2016
5a Emu Av,Altona,1000000,,,,19/11/2016
12 Spear Ct,Altona,605100,3,2,,22/05/2016
185 Queen St,Altona,880000,3,3,,22/08/2016
3/20 Mulga St,Altona,577000,3,2,2007,23/04/2016
51 Millers Rd,Altona,1030000,4,1,,25/02/2017
2/119 Railway St N,Altona,605000,3,1,,25/02/2017
12 Ransom Av,Altona,685000,,,,25/02/2017
24 McIntyre Dr,Altona,753000,3,2,,27/06/2016
104 Maidstone St,Altona,857000,2,2,1950,27/11/2016
49 Bent St,Altona,1500000,3,1,,28/05/2016
5/57 Blyth St,Altona,730000,3,2,2014,28/05/2016
15 Kookaburra St,Altona,900000,3,1,,28/05/2016
219 Civic Pde,Altona,740000,3,1,,28/08/2016
3 Curtin Ct,Altona,931000,4,2,1970,28/08/2016
2/60 David St,Altona,535600,2,1,1996,30/07/2016
