Address,Suburb,Price,Bedroom,Bathroom,YearBuilt,DateSold
1 Acorn Place,South Lake,565000,4,2,2003,2018
1 Addis Way,Wandi,365000,3,2,2013,2019
1 Ainsley Court,Camillo,287000,3,1,1979,2015
1 Albert Street,Bellevue,255000,2,1,1953,2018
1 Aman Place,Lockridge,325000,4,1,1998,2016
1 Amethyst Crescent,Mount Richon,409000,4,2,1991,2013
1 Ardara Lane,Hilbert,400000,3,2,2014,2016
1 Arnside Bend,Waikiki,370000,4,2,2013,2019
1 Arrochar Court,Hamersley,565000,4,2,1983,2020
1 Arundel Street,Bayswater,685000,3,2,1999,2019
1 Ash Road,Carmel,675000,4,2,1977,2014
1 Ashcott Gate,Butler,367500,3,2,2003,2018
1 Ashcroft Way,Balga,300000,3,2,2008,2019
1 Ashendon Boulevard,Hammond Park,535000,4,2,2002,2019
1 Ashtree Boulevard,Wattle Grove,540000,4,2,2004,2018
1 August Court,Bull Creek,685000,3,2,1985,2017
1 Avonlea Place,Bullsbrook,350000,4,2,1994,2017
1 Babbler Court,Maida Vale,570000,4,2,2003,2020
1 Balga Place,Koongamia,318000,2,1,1959,2013
1 Bamlett Street,Mount Nasura,379000,3,2,1977,2017
1 Banken Court,Forrestdale,387500,4,1,1981,2017
1 Barcroft Court,Atwell,465000,4,2,2000,2017
1 Bates Loop,Lockridge,325000,3,1,1972,2014
1 Batoni Way,Ashby,515000,3,2,2007,2014
1 Bayley Street,Woodbridge,610000,3,1,1920,2013
1 Beach Street,Bicton,1950000,5,2,1981,2018
1 Beacon Way,Singleton,420000,4,2,2006,2015
1 Beenan Elbow,South Guildford,347500,3,1,NULL,2018
1 Belfry Way,Wattle Grove,492000,4,2,2012,2017
1 Bell Court,Armadale,201000,3,1,1985,2019
1 Bellata Place,Kenwick,275000,3,1,1996,2018
1 Bellier Place,Hamilton Hill,410000,4,2,1983,2019
1 Belmont Close,Port Kennedy,315000,4,2,1999,2020
1 Belvedere Rise,Roleystone,795000,4,3,NULL,2017
1 Benowa Drive,Glen Forrest,600000,4,2,1988,2015
1 Bianco Place,Secret Harbour,400000,4,2,2002,2019
1 Bignell Place,Herne Hill,350000,3,1,1974,2013
1 Bindoon Close,Gwelup,835000,4,2,1998,2016
1 Binnia Mews,Harrisdale,482000,4,2,2008,2020
1 Binns Court,North Fremantle,1260000,3,3,2000,2016
1 Bishops Close,Quinns Rocks,405000,3,2,1989,2019
1 Bittern Close,Maida Vale,465000,3,2,2002,2019
1 Blato Place,Spearwood,560000,5,2,1996,2018
1 Bohemia Way,Parkwood,380000,3,1,1978,2016
1 Boncath Road,Butler,360000,3,2,2006,2020
1 Bonita Way,Tapping,540000,4,2,2005,2018
1 Boronia Court,Thornlie,420000,3,2,1991,2020
1 Borough Road,Baldivis,330000,4,2,2011,2020
1 Bourke Street,Kensington,705000,3,1,1952,2017
1 Bowood Cove,Kiara,615000,4,2,1994,2016
1 Bradbury Road,Hamilton Hill,565000,3,2,1960,2020
1 Bradford Street,Menora,850000,3,1,1959,2013
1 Bradstocks Grove,Southern River,780000,4,2,2015,2018
1 Bramley Way,Bibra Lake,520000,3,3,2001,2018
1 Brassey Street,Swanbourne,1100000,3,1,1945,2016
1 Brentwood Way,The Vines,590000,5,2,2004,2020
1 Brilliant Rise,Stratton,312000,4,2,1993,2018
1 Briston Place,North Beach,900000,3,2,2008,2016
1 Bristow Street,Haynes,177000,3,1,2015,2013
1 Brittain Avenue,Madeley,580000,4,2,2004,2017
1 Brix Street,Wembley Downs,1310000,4,2,2010,2019
1 Brixton Road,Bentley,470000,3,2,1950,2018
1 Bruning Road,Manning,717000,3,2,1995,2018
1 Buckie Court,Warwick,650000,4,2,NULL,2014
1 Bull Place,Queens Park,387000,4,1,1998,2018
1 Bynder Lane,Medina,330000,3,2,2014,2015
1 Cabarita Road,Kalamunda,605000,2,1,1977,2020
1 Cadiz Way,Bullsbrook,380000,3,2,2016,2016
1 Caladenia Way,Koongamia,85000,2,1,1965,1998
1 Cam Court,Merriwa,345000,3,2,1992,2017
1 Camden Boulevard,Aubin Grove,528000,4,2,2008,2018
1 Cameron Street,Karrinyup,1350000,4,1,2012,2018
1 Camira Place,Gooseberry Hill,735000,4,2,1982,2015
1 Camrose Lane,Darch,442500,4,2,2005,2019
1 Canarias Way,Hillarys,1015000,3,2,2003,2018
1 Cannon Court,Alexander Heights,530000,3,2,1985,2016
1 Canny Road,St James,515000,3,1,1958,2019
1 Carnegie Road,Bassendean,1100000,4,2,2005,2018
1 Carroll Street,Ardross,1265000,4,3,2005,2018
1 Cartland Court,Bedfordale,750000,4,3,2003,2019
1 Caterpillar Road,Success,472500,4,2,2008,2018
1 Caxton Lane,Ballajura,392500,4,2,NULL,2019
1 Centaur Circle,Woodbridge,900000,4,2,NULL,2008
1 Cessford Close,Leda,380000,5,2,1994,2015
